Goodness,Model
3737485293,"{'Cc': 1, 'RB1': 511000.0, 'RB2': 12700.0, 'RB3': 5620000.0, 'RC': 1780.0, 'RE_deg': 59.0, 'RE': 2260.0, 'trans_model': 'ZTX107-NOM'}"
3569394178,"{'Cc': 1, 'RB1': 590000.0, 'RB2': 10000.0, 'RB3': 536000.0, 'RC': 2870.0, 'RE_deg': 105.0, 'RE': 1000.0, 'trans_model': 'ZTX107-NOM'}"
3560264275,"{'Cc': 1, 'RB1': 301000.0, 'RB2': 10500.0, 'RB3': 909000.0, 'RC': 2050.0, 'RE_deg': 82.5, 'RE': 953.0, 'trans_model': 'ZTX107-NOM'}"
2885642493,"{'Cc': 1, 'RB1': 133000.0, 'RB2': 16900.0, 'RB3': 71500.0, 'RC': 1100.0, 'RE_deg': 12.7, 'RE': 383.0, 'trans_model': 'ZTX107-NOM'}"
2803772638,"{'Cc': 1, 'RB1': 464000.0, 'RB2': 23700.0, 'RB3': 205000.0, 'RC': 1400.0, 'RE_deg': 13.3, 'RE': 147.0, 'trans_model': 'ZTX107-NOM'}"
2773405458,"{'Cc': 1, 'RB1': 422000.0, 'RB2': 11000.0, 'RB3': 140000.0, 'RC': 1400.0, 'RE_deg': 14.7, 'RE': 121.0, 'trans_model': 'ZTX107-NOM'}"
2732480776,"{'Cc': 1, 'RB1': 205000.0, 'RB2': 16200.0, 'RB3': 64900.00000000001, 'RC': 1150.0, 'RE_deg': 14.0, 'RE': 422.0, 'trans_model': 'ZTX107-NOM'}"
2693058596,"{'Cc': 1, 'RB1': 82500.0, 'RB2': 13300.0, 'RB3': 19600.0, 'RC': 1000.0, 'RE_deg': 12.1, 'RE': 365.0, 'trans_model': 'ZTX107-NOM'}"
2690668520,"{'Cc': 1, 'RB1': 68100.0, 'RB2': 22600.0, 'RB3': 16900.0, 'RC': 1050.0, 'RE_deg': 16.9, 'RE': 196.0, 'trans_model': 'ZTX107-NOM'}"
2682990590,"{'Cc': 1, 'RB1': 169000.0, 'RB2': 20500.0, 'RB3': 68100.0, 'RC': 1210.0, 'RE_deg': 19.6, 'RE': 301.0, 'trans_model': 'ZTX107-NOM'}"
2679872260,"{'Cc': 1, 'RB1': 110000.0, 'RB2': 24900.0, 'RB3': 23700.0, 'RC': 1210.0, 'RE_deg': 12.7, 'RE': 316.0, 'trans_model': 'ZTX107-NOM'}"
2654768372,"{'Cc': 1, 'RB1': 147000.0, 'RB2': 21500.0, 'RB3': 38300.0, 'RC': 1470.0, 'RE_deg': 11.5, 'RE': 536.0, 'trans_model': 'ZTX107-NOM'}"
2653105227,"{'Cc': 1, 'RB1': 162000.0, 'RB2': 33200.0, 'RB3': 27400.0, 'RC': 1620.0, 'RE_deg': 11.5, 'RE': 205.0, 'trans_model': 'ZTX107-NOM'}"
2650546474,"{'Cc': 1, 'RB1': 205000.0, 'RB2': 14700.0, 'RB3': 51100.0, 'RC': 1330.0, 'RE_deg': 21.5, 'RE': 140.0, 'trans_model': 'ZTX107-NOM'}"
2646730149,"{'Cc': 1, 'RB1': 1270000.0, 'RB2': 14700.0, 'RB3': 7150000.0, 'RC': 9530.0, 'RE_deg': 215.0, 'RE': 162.0, 'trans_model': 'ZTX107-NOM'}"
2605904578,"{'Cc': 1, 'RB1': 82500.0, 'RB2': 12700.0, 'RB3': 27400.0, 'RC': 1000.0, 'RE_deg': 22.6, 'RE': 205.0, 'trans_model': 'ZTX107-NOM'}"
2601226417,"{'Cc': 1, 'RB1': 75000.0, 'RB2': 11500.0, 'RB3': 20500, 'RC': 1470.0, 'RE_deg': 22.6, 'RE': 301.0, 'trans_model': 'ZTX107-NOM'}"
2599718901,"{'Cc': 1, 'RB1': 95300, 'RB2': 56200.0, 'RB3': 23700.0, 'RC': 1100.0, 'RE_deg': 11.0, 'RE': 301.0, 'trans_model': 'ZTX107-NOM'}"
2594758730,"{'Cc': 1, 'RB1': 178000.0, 'RB2': 10000.0, 'RB3': 86600.0, 'RC': 1100.0, 'RE_deg': 23.7, 'RE': 196.0, 'trans_model': 'ZTX107-NOM'}"
2559138569,"{'Cc': 1, 'RB1': 95300.0, 'RB2': 31600.0, 'RB3': 34800.0, 'RC': 1210.0, 'RE_deg': 14.7, 'RE': 562.0, 'trans_model': 'ZTX107-NOM'}"
2550339515,"{'Cc': 1, 'RB1': 464000.0, 'RB2': 14700.0, 'RB3': 274000.0, 'RC': 1689.9999999999998, 'RE_deg': 133.0, 'RE': 383.0, 'trans_model': 'ZTX107-NOM'}"
2500453755,"{'Cc': 1, 'RB1': 205000.0, 'RB2': 42200.0, 'RB3': 31600.0, 'RC': 1330.0, 'RE_deg': 11.0, 'RE': 147.0, 'trans_model': 'ZTX107-NOM'}"
2499691084,"{'Cc': 1, 'RB1': 402000.0, 'RB2': 24900.0, 'RB3': 487000.0, 'RC': 1270.0, 'RE_deg': 21.5, 'RE': 715.0, 'trans_model': 'ZTX107-NOM'}"
2487083740,"{'Cc': 1, 'RB1': 301000.0, 'RB2': 13300.0, 'RB3': 82500.0, 'RC': 1210.0, 'RE_deg': 16.2, 'RE': 365.0, 'trans_model': 'ZTX107-NOM'}"
2445150068,"{'Cc': 1, 'RB1': 127000.0, 'RB2': 12700.0, 'RB3': 27400.0, 'RC': 1330.0, 'RE_deg': 26.1, 'RE': 249.0, 'trans_model': 'ZTX107-NOM'}"
2439799211,"{'Cc': 1, 'RB1': 105000.0, 'RB2': 13300.0, 'RB3': 21500.0, 'RC': 1400.0, 'RE_deg': 28.7, 'RE': 215.0, 'trans_model': 'ZTX107-NOM'}"
2430727176,"{'Cc': 1, 'RB1': 147000.0, 'RB2': 10500, 'RB3': 36500.0, 'RC': 1100.0, 'RE_deg': 21.5, 'RE': 226, 'trans_model': 'ZTX107-NOM'}"
2403533207,"{'Cc': 1, 'RB1': 187000.0, 'RB2': 12100.0, 'RB3': 36500.0, 'RC': 1210.0, 'RE_deg': 23.7, 'RE': 154.0, 'trans_model': 'ZTX107-NOM'}"
2401126274,"{'Cc': 1, 'RB1': 59000.0, 'RB2': 12700.0, 'RB3': 12700.0, 'RC': 1210.0, 'RE_deg': 26.1, 'RE': 249.0, 'trans_model': 'ZTX107-NOM'}"
2382071400,"{'Cc': 1, 'RB1': 162000.0, 'RB2': 71500.0, 'RB3': 56200.0, 'RC': 1150.0, 'RE_deg': 24.9, 'RE': 274.0, 'trans_model': 'ZTX107-NOM'}"
2376344258,"{'Cc': 1, 'RB1': 162000.0, 'RB2': 10500.0, 'RB3': 40200.0, 'RC': 1400.0, 'RE_deg': 34.8, 'RE': 115.0, 'trans_model': 'ZTX107-NOM'}"
2370863551,"{'Cc': 1, 'RB1': 56200.0, 'RB2': 10000.0, 'RB3': 24900.0, 'RC': 1050.0, 'RE_deg': 26.1, 'RE': 590.0, 'trans_model': 'ZTX107-NOM'}"
2365682503,"{'Cc': 1, 'RB1': 187000.0, 'RB2': 78700.0, 'RB3': 48700.0, 'RC': 1150.0, 'RE_deg': 16.2, 'RE': 442.0, 'trans_model': 'ZTX107-NOM'}"
2361026176,"{'Cc': 1, 'RB1': 649000.0, 'RB2': 10000.0, 'RB3': 7150000.0, 'RC': 6190.0, 'RE_deg': 64.9, 'RE': 287.0, 'trans_model': 'ZTX107-NOM'}"
2343987269,"{'Cc': 1, 'RB1': 249000.0, 'RB2': 12700.0, 'RB3': 68100.0, 'RC': 1270.0, 'RE_deg': 31.6, 'RE': 169.0, 'trans_model': 'ZTX107-NOM'}"
2343540209,"{'Cc': 1, 'RB1': 133000.0, 'RB2': 34800.0, 'RB3': 48700.0, 'RC': 1050.0, 'RE_deg': 27.4, 'RE': 226.0, 'trans_model': 'ZTX107-NOM'}"
2325962220,"{'Cc': 1, 'RB1': 487000.0, 'RB2': 115000.0, 'RB3': 348000.0, 'RC': 1100.0, 'RE_deg': 23.7, 'RE': 316.0, 'trans_model': 'ZTX107-NOM'}"
2316552227,"{'Cc': 1, 'RB1': 127000.0, 'RB2': 14000.0, 'RB3': 64900.00000000001, 'RC': 1150.0, 'RE_deg': 33.2, 'RE': 619.0, 'trans_model': 'ZTX107-NOM'}"
2270250490,"{'Cc': 1, 'RB1': 422000.0, 'RB2': 110000.0, 'RB3': 147000.0, 'RC': 1000.0, 'RE_deg': 20.5, 'RE': 140.0, 'trans_model': 'ZTX107-NOM'}"
2258250206,"{'Cc': 1, 'RB1': 196000.0, 'RB2': 42200.0, 'RB3': 28700.0, 'RC': 1150.0, 'RE_deg': 18.7, 'RE': 162.0, 'trans_model': 'ZTX107-NOM'}"
2250606745,"{'Cc': 1, 'RB1': 133000.0, 'RB2': 59000.0, 'RB3': 28700.0, 'RC': 1100.0, 'RE_deg': 26.1, 'RE': 215.0, 'trans_model': 'ZTX107-NOM'}"
2229216540,"{'Cc': 1, 'RB1': 147000.0, 'RB2': 46400.0, 'RB3': 36500.0, 'RC': 1150.0, 'RE_deg': 30.1, 'RE': 332.0, 'trans_model': 'ZTX107-NOM'}"
2212529944,"{'Cc': 1, 'RB1': 110000.0, 'RB2': 11500.0, 'RB3': 20500, 'RC': 1270.0, 'RE_deg': 34.8, 'RE': 301.0, 'trans_model': 'ZTX107-NOM'}"
2208527621,"{'Cc': 1, 'RB1': 147000.0, 'RB2': 19600.0, 'RB3': 68100.0, 'RC': 1540.0, 'RE_deg': 30.1, 'RE': 1330.0, 'trans_model': 'ZTX107-NOM'}"
2200108248,"{'Cc': 1, 'RB1': 649000.0, 'RB2': 16900.0, 'RB3': 487000.0, 'RC': 1150.0, 'RE_deg': 17.8, 'RE': 1540.0, 'trans_model': 'ZTX107-NOM'}"
2192846660,"{'Cc': 1, 'RB1': 162000.0, 'RB2': 18700.0, 'RB3': 56200.0, 'RC': 1100.0, 'RE_deg': 21.5, 'RE': 1270.0, 'trans_model': 'ZTX107-NOM'}"
2192109872,"{'Cc': 1, 'RB1': 590000.0, 'RB2': 16200.0, 'RB3': 187000.0, 'RC': 2050.0, 'RE_deg': 40.2, 'RE': 205.0, 'trans_model': 'ZTX107-NOM'}"
2145054154,"{'Cc': 1, 'RB1': 75000.0, 'RB2': 12100.0, 'RB3': 24900.0, 'RC': 1540.0, 'RE_deg': 42.2, 'RE': 649.0, 'trans_model': 'ZTX107-NOM'}"
2140718023,"{'Cc': 1, 'RB1': 115000.0, 'RB2': 10500.0, 'RB3': 27400.0, 'RC': 1540.0, 'RE_deg': 40.2, 'RE': 422.0, 'trans_model': 'ZTX107-NOM'}"
2100915285,"{'Cc': 1, 'RB1': 71500.0, 'RB2': 17800.0, 'RB3': 14700.0, 'RC': 1150.0, 'RE_deg': 44.2, 'RE': 169.0, 'trans_model': 'ZTX107-NOM'}"
2064495975,"{'Cc': 1, 'RB1': 348000.0, 'RB2': 40200.0, 'RB3': 196000.0, 'RC': 1400.0, 'RE_deg': 40.2, 'RE': 1150.0, 'trans_model': 'ZTX107-NOM'}"
2060350317,"{'Cc': 1, 'RB1': 332000.0, 'RB2': 10000.0, 'RB3': 90900.0, 'RC': 1540.0, 'RE_deg': 46.4, 'RE': 261.0, 'trans_model': 'ZTX107-NOM'}"
2048564110,"{'Cc': 1, 'RB1': 115000.0, 'RB2': 10500, 'RB3': 17800.0, 'RC': 1540.0, 'RE_deg': 42.2, 'RE': 287.0, 'trans_model': 'ZTX107-NOM'}"
2020603363,"{'Cc': 1, 'RB1': 1330000.0, 'RB2': 36500.0, 'RB3': 1270000.0, 'RC': 1689.9999999999998, 'RE_deg': 30.1, 'RE': 127.0, 'trans_model': 'ZTX107-NOM'}"
1999036420,"{'Cc': 1, 'RB1': 178000.0, 'RB2': 42200.0, 'RB3': 53600.0, 'RC': 1270.0, 'RE_deg': 40.2, 'RE': 649.0, 'trans_model': 'ZTX107-NOM'}"
1981994379,"{'Cc': 1, 'RB1': 226000.0, 'RB2': 14000.0, 'RB3': 511000.0, 'RC': 1210.0, 'RE_deg': 51.1, 'RE': 332.0, 'trans_model': 'ZTX107-NOM'}"
1978930961,"{'Cc': 1, 'RB1': 226000.0, 'RB2': 10500.0, 'RB3': 46400.0, 'RC': 1050.0, 'RE_deg': 12.1, 'RE': 1050.0, 'trans_model': 'ZTX107-NOM'}"
1976493115,"{'Cc': 1, 'RB1': 115000.0, 'RB2': 19600.0, 'RB3': 17800.0, 'RC': 1330.0, 'RE_deg': 40.2, 'RE': 215.0, 'trans_model': 'ZTX107-NOM'}"
1976361482,"{'Cc': 1, 'RB1': 1050000.0, 'RB2': 14000.0, 'RB3': 590000.0, 'RC': 3829.9999999999995, 'RE_deg': 48.7, 'RE': 1050.0, 'trans_model': 'ZTX107-NOM'}"
1970602065,"{'Cc': 1, 'RB1': 121000.0, 'RB2': 13300.0, 'RB3': 15400.0, 'RC': 1270.0, 'RE_deg': 28.7, 'RE': 249.0, 'trans_model': 'ZTX107-NOM'}"
1959170599,"{'Cc': 1, 'RB1': 147000.0, 'RB2': 75000.0, 'RB3': 28700.0, 'RC': 1150.0, 'RE_deg': 20.5, 'RE': 422.0, 'trans_model': 'ZTX107-NOM'}"
1946308658,"{'Cc': 1, 'RB1': 348000.0, 'RB2': 75000.0, 'RB3': 649000.0, 'RC': 1150.0, 'RE_deg': 48.7, 'RE': 402.0, 'trans_model': 'ZTX107-NOM'}"
1930522693,"{'Cc': 1, 'RB1': 140000.0, 'RB2': 14000.0, 'RB3': 169000.0, 'RC': 1050.0, 'RE_deg': 40.2, 'RE': 2490.0, 'trans_model': 'ZTX107-NOM'}"
1927964133,"{'Cc': 1, 'RB1': 274000.0, 'RB2': 75000.0, 'RB3': 649000.0, 'RC': 1330.0, 'RE_deg': 61.9, 'RE': 287.0, 'trans_model': 'ZTX107-NOM'}"
1923203176,"{'Cc': 1, 'RB1': 750000.0, 'RB2': 20500.0, 'RB3': 715000.0, 'RC': 2610.0, 'RE_deg': 249.0, 'RE': 140.0, 'trans_model': 'ZTX107-NOM'}"
1912066576,"{'Cc': 1, 'RB1': 487000.0, 'RB2': 10000.0, 'RB3': 115000.0, 'RC': 3650.0, 'RE_deg': 86.6, 'RE': 511.0, 'trans_model': 'ZTX107-NOM'}"
1906094908,"{'Cc': 1, 'RB1': 261000.0, 'RB2': 51100.0, 'RB3': 75000.0, 'RC': 1050.0, 'RE_deg': 34.8, 'RE': 649.0, 'trans_model': 'ZTX107-NOM'}"
1900402778,"{'Cc': 1, 'RB1': 162000.0, 'RB2': 14000.0, 'RB3': 46400.0, 'RC': 1400.0, 'RE_deg': 64.9, 'RE': 226.0, 'trans_model': 'ZTX107-NOM'}"
1880434434,"{'Cc': 1, 'RB1': 274000.0, 'RB2': 19600.0, 'RB3': 121000.0, 'RC': 1100.0, 'RE_deg': 51.1, 'RE': 365.0, 'trans_model': 'ZTX107-NOM'}"
1879334607,"{'Cc': 1, 'RB1': 365000.0, 'RB2': 169000.0, 'RB3': 121000.0, 'RC': 1210.0, 'RE_deg': 46.4, 'RE': 301.0, 'trans_model': 'ZTX107-NOM'}"
1870390577,"{'Cc': 1, 'RB1': 226000.0, 'RB2': 14000.0, 'RB3': 22600.0, 'RC': 1210.0, 'RE_deg': 15.4, 'RE': 140.0, 'trans_model': 'ZTX107-NOM'}"
1864631051,"{'Cc': 1, 'RB1': 715000.0, 'RB2': 133000.0, 'RB3': 619000.0, 'RC': 1000.0, 'RE_deg': 33.2, 'RE': 1210.0, 'trans_model': 'ZTX107-NOM'}"
1864408912,"{'Cc': 1, 'RB1': 1100000.0, 'RB2': 19600.0, 'RB3': 464000.0, 'RC': 3320.0000000000005, 'RE_deg': 71.5, 'RE': 715.0, 'trans_model': 'ZTX107-NOM'}"
1864253744,"{'Cc': 1, 'RB1': 133000.0, 'RB2': 10500.0, 'RB3': 90900.0, 'RC': 1100.0, 'RE_deg': 59.0, 'RE': 536.0, 'trans_model': 'ZTX107-NOM'}"
1844915059,"{'Cc': 1, 'RB1': 162000.0, 'RB2': 82500.0, 'RB3': 28700.0, 'RC': 1150.0, 'RE_deg': 36.5, 'RE': 187.0, 'trans_model': 'ZTX107-NOM'}"
1828246903,"{'Cc': 1, 'RB1': 274000.0, 'RB2': 86600.0, 'RB3': 95300.0, 'RC': 2870.0, 'RE_deg': 10.5, 'RE': 226.0, 'trans_model': 'ZTX107-NOM'}"
1812727516,"{'Cc': 1, 'RB1': 383000.0, 'RB2': 18700.0, 'RB3': 287000.0, 'RC': 2050.0, 'RE_deg': 78.7, 'RE': 1100.0, 'trans_model': 'ZTX107-NOM'}"
1803192699,"{'Cc': 1, 'RB1': 1150000.0, 'RB2': 40200.0, 'RB3': 681000.0, 'RC': 1689.9999999999998, 'RE_deg': 64.9, 'RE': 169.0, 'trans_model': 'ZTX107-NOM'}"
1789673902,"{'Cc': 1, 'RB1': 169000.0, 'RB2': 48700.0, 'RB3': 30100.0, 'RC': 2870.0, 'RE_deg': 11.0, 'RE': 100.0, 'trans_model': 'ZTX107-NOM'}"
1785211742,"{'Cc': 1, 'RB1': 205000.0, 'RB2': 15400.0, 'RB3': 51100.0, 'RC': 2490.0, 'RE_deg': 13.3, 'RE': 215.0, 'trans_model': 'ZTX107-NOM'}"
1777776692,"{'Cc': 1, 'RB1': 147000.0, 'RB2': 17800.0, 'RB3': 48700.0, 'RC': 2490.0, 'RE_deg': 14.7, 'RE': 402.0, 'trans_model': 'ZTX107-NOM'}"
1774309511,"{'Cc': 1, 'RB1': 205000.0, 'RB2': 17800.0, 'RB3': 332000.0, 'RC': 1540.0, 'RE_deg': 10.0, 'RE': 590.0, 'trans_model': 'ZTX107-NOM'}"
1769065141,"{'Cc': 1, 'RB1': 169000.0, 'RB2': 86600.0, 'RB3': 95300.0, 'RC': 1050.0, 'RE_deg': 61.9, 'RE': 249.0, 'trans_model': 'ZTX107-NOM'}"
1762918692,"{'Cc': 1, 'RB1': 178000.0, 'RB2': 31600.0, 'RB3': 28700.0, 'RC': 3829.9999999999995, 'RE_deg': 11.0, 'RE': 178.0, 'trans_model': 'ZTX107-NOM'}"
1755680431,"{'Cc': 1, 'RB1': 365000.0, 'RB2': 21500.0, 'RB3': 4640000.0, 'RC': 2490.0, 'RE_deg': 402.0, 'RE': 3479.9999999999995, 'trans_model': 'ZTX107-NOM'}"
1751581555,"{'Cc': 1, 'RB1': 316000.0, 'RB2': 56200.0, 'RB3': 68100.0, 'RC': 3010.0, 'RE_deg': 12.7, 'RE': 162.0, 'trans_model': 'ZTX107-NOM'}"
1748091093,"{'Cc': 1, 'RB1': 75000.0, 'RB2': 22600.0, 'RB3': 24900.0, 'RC': 2050.0, 'RE_deg': 14.7, 'RE': 348.0, 'trans_model': 'ZTX107-NOM'}"
1743861568,"{'Cc': 1, 'RB1': 95300.0, 'RB2': 59000.0, 'RB3': 59000.0, 'RC': 2050.0, 'RE_deg': 11.5, 'RE': 787.0, 'trans_model': 'ZTX107-NOM'}"
1741665396,"{'Cc': 1, 'RB1': 1330000.0, 'RB2': 27400.0, 'RB3': 1689999.9999999998, 'RC': 4420.0, 'RE_deg': 121.0, 'RE': 301.0, 'trans_model': 'ZTX107-NOM'}"
1726741682,"{'Cc': 1, 'RB1': 86600.0, 'RB2': 16900.0, 'RB3': 19600.0, 'RC': 2870.0, 'RE_deg': 16.2, 'RE': 301.0, 'trans_model': 'ZTX107-NOM'}"
1726384089,"{'Cc': 1, 'RB1': 178000.0, 'RB2': 10500, 'RB3': 42200.0, 'RC': 2050.0, 'RE_deg': 13.3, 'RE': 274.0, 'trans_model': 'ZTX107-NOM'}"
1725773641,"{'Cc': 1, 'RB1': 147000.0, 'RB2': 11000.0, 'RB3': 59000.0, 'RC': 2260.0, 'RE_deg': 17.8, 'RE': 487.0, 'trans_model': 'ZTX107-NOM'}"
1722337423,"{'Cc': 1, 'RB1': 1150000.0, 'RB2': 19600.0, 'RB3': 562000.0, 'RC': 10500.0, 'RE_deg': 178.0, 'RE': 316.0, 'trans_model': 'ZTX107-NOM'}"
1717536244,"{'Cc': 1, 'RB1': 464000.0, 'RB2': 31600.0, 'RB3': 7500000.0, 'RC': 1150.0, 'RE_deg': 154.0, 'RE': 7870.0, 'trans_model': 'ZTX107-NOM'}"
1715904059,"{'Cc': 1, 'RB1': 274000.0, 'RB2': 487000.0, 'RB3': 274000.0, 'RC': 2050.0, 'RE_deg': 10.5, 'RE': 121.0, 'trans_model': 'ZTX107-NOM'}"
1715746408,"{'Cc': 1, 'RB1': 205000.0, 'RB2': 33200.0, 'RB3': 127000.0, 'RC': 1780.0, 'RE_deg': 14.7, 'RE': 442.0, 'trans_model': 'ZTX107-NOM'}"
1702126060,"{'Cc': 1, 'RB1': 110000.0, 'RB2': 71500.0, 'RB3': 68100.0, 'RC': 1689.9999999999998, 'RE_deg': 12.1, 'RE': 619.0, 'trans_model': 'ZTX107-NOM'}"
1698375734,"{'Cc': 1, 'RB1': 68100.0, 'RB2': 21500.0, 'RB3': 86600.0, 'RC': 1150.0, 'RE_deg': 10.0, 'RE': 750.0, 'trans_model': 'ZTX107-NOM'}"
1695062292,"{'Cc': 1, 'RB1': 90900.0, 'RB2': 12700.0, 'RB3': 18700.0, 'RC': 1870.0, 'RE_deg': 12.1, 'RE': 316.0, 'trans_model': 'ZTX107-NOM'}"
1694449038,"{'Cc': 1, 'RB1': 127000.0, 'RB2': 16200.0, 'RB3': 18700.0, 'RC': 2490.0, 'RE_deg': 16.9, 'RE': 105.0, 'trans_model': 'ZTX107-NOM'}"
